Species	Status	min_age	max_age
?Sallamys	extinct	24.5	24.5
aff._Tarapotomys	extinct	33.9	37.71
aff._Tarapotomys_sp.	extinct	33.9	37.71
Balsayacuy	extinct	27.82	33.9
Balsayacuy_huallagaensis	extinct	33.9	37.71
Balsayacuy_huallagaensis	extinct	33.9	37.71
Cachiyacuy_cf._contamanensis	extinct	33.9	37.2
Cachiyacuy_cf._kummeli	extinct	33.9	41.2
Cachiyacuy_cf._kummeli	extinct	33.9	37.71
Cachiyacuy_contamanensis	extinct	33.9	41.2
Cachiyacuy_contamanensis	extinct	33.9	41.2
Cachiyacuy_contamanensis	extinct	33.9	41.2
Cachiyacuy_contamanensis	extinct	33.9	37.2
Cachiyacuy_kummeli	extinct	33.9	41.2
Cachiyacuy_sp.	extinct	27.82	33.9
Canaanimys_maquiensis	extinct	33.9	41.2
Canaanimys_sp.	extinct	27.82	31.1
cf._Cachiyacuy_kummeli	extinct	27.82	31.1
cf._Cachiyacuy_kummeli	extinct	27.82	31.1
cf. Eoespina	extinct	33.9	37.2
cf._Pozomys_ucayaliensis	extinct	27.82	31.1
cf._Tarapotomys	extinct	33.9	37.71
Chachapoyamys_cf._kathetos	extinct	33.9	41.2
Chachapoyamys_kathetos	extinct	33.9	37.71
Chambiramys_shipiborum	extinct	23.03	27.82
Chambiramys_sylvaticus	extinct	23.03	27.82
Draconomys_verai	extinct	30.617	30.77
Eobranisamys_a	extinct	28.1	33.9
Eobranisamys_b	extinct	33.9	37.71
Eobranisamys_javierpradoi	extinct	33.9	41.2
Eobranisamys_riverai	extinct	27.82	31.1
Eobranisamys_romeropittmanae	extinct	27.82	31.1
Eoespina	extinct	33.9	41.2
Eoespina	extinct	33.9	37.2
Eoespina_woodi	extinct	27.82	31.1
Eoincamys	extinct	27.82	33.9
Eoincamys	extinct	33.9	37.71
Eoincamys_aff._pascuali	extinct	27.82	33.9
Eoincamys_ameghinoi	extinct	27.82	31.1
Eoincamys_cf._pascuali	extinct	27.82	33.9
Eoincamys_parvus	extinct	33.9	37.71
Eoincamys_parvus	extinct	33.9	37.71
Eoincamys_parvus	extinct	27.82	33.9
Eoincamys_pascuali	extinct	27.82	31.1
Eoincamys_sp.	extinct	27.82	33.9
Eoincamys_valverdei	extinct	33.9	37.71
Eoincamys_valverdei	extinct	27.82	33.9
Eoincamys_valverdei	extinct	33.9	37.71
Eoincamys_valverdei	extinct	27.82	33.9
Eoincamys_valverdei	extinct	27.82	33.9
